city,state,lat,long
Fort Collins,Colorado,40.54,-105.06 
Palmdale,California,34.59,-118.10 
Salinas,California,36.69,-121.63 
Hayward,California,37.62,-122.10 
Corona,California,33.86,-117.56 
Paterson,New Jersey,40.91,-74.16 
Murfreesboro,Tennessee,35.85,-86.41 
Macon,Georgia,32.80,-83.69 
Lakewood,Colorado,39.69,-105.11 
Killeen,Texas,31.07,-97.73 
Springfield,Massachusetts,42.11,-72.54 
Alexandria,Virginia,38.82,-77.08 
Kansas City,Kansas,39.12,-94.74 
Sunnyvale,California,37.38,-122.02 
Hollywood,Florida,26.03,-80.16 
Roseville,California,38.76,-121.31 
Charleston,South Carolina,32.81,-79.95 
Escondido,California,33.13,-117.07 
Joliet,Illinois,41.51,-88.14 
Jackson,Mississippi,32.31,-90.21 
Bellevue,Washington,47.59,-122.15 
Surprise,Arizona,33.67,-112.45 
Naperville,Illinois,41.74,-88.16 
Pasadena,Texas,29.65,-95.15 
Pomona,California,34.05,-117.76 
Bridgeport,Connecticut,41.18,-73.19 
Denton,Texas,33.21,-97.14 
Rockford,Illinois,42.25,-89.06 
Mesquite,Texas,32.76,-96.58 
Savannah,Georgia,32.00,-81.15 
Syracuse,New York,43.04,-76.14 
McAllen,Texas,26.23,-98.24 
Torrance,California,33.83,-118.34 
Olathe,Kansas,38.88,-94.81 
Visalia,California,36.32,-119.32 
Thornton,Colorado,39.91,-104.94 
Fullerton,California,33.88,-117.92 
Gainesville,Florida,29.67,-82.34 
Waco,Texas,31.56,-97.18 
West Valley City,Utah,40.68,-112.01 
Warren,Michigan,42.49,-83.02 
Lakewood,New Jersey,40.08,-74.21 
Hampton,Virginia,37.04,-76.29 
Dayton,Ohio,39.77,-84.19 
Columbia,South Carolina,34.02,-80.89 
Orange,California,33.78,-117.86 
Cedar Rapids,Iowa,41.96,-91.67 
Stamford,Connecticut,41.07,-73.54 
Victorville,California,34.52,-117.35 
Pasadena,California,34.16,-118.13 
Elizabeth,New Jersey,40.66,-74.19 
New Haven,Connecticut,41.31,-72.92 
Miramar,Florida,25.97,-80.33 
Kent,Washington,47.38,-122.21 
Sterling Heights,Michigan,42.58,-83.03 
Carrollton,Texas,32.98,-96.89 
Coral Springs,Florida,26.27,-80.25 
Midland,Texas,32.02,-102.11 
Norman,Oklahoma,35.24,-97.34 
Athens,Georgia,33.94,-83.37 
Santa Clara,California,37.36,-121.96 
Columbia,Missouri,38.95,-92.32 
Fargo,North Dakota,46.86,-96.82 
Pearland,Texas,29.55,-95.32 
Simi Valley,California,34.26,-118.74 
Meridian,Idaho,43.61,-116.39 
Topeka,Kansas,39.03,-95.69 
Allentown,Pennsylvania,40.59,-75.47 
Thousand Oaks,California,34.19,-118.87 
Abilene,Texas,32.45,-99.73 
Vallejo,California,38.10,-122.26 
Concord,California,37.97,-122.00 
Round Rock,Texas,30.52,-97.66 
Arvada,Colorado,39.83,-105.15 
Clovis,California,36.82,-119.68 
Palm Bay,Florida,27.98,-80.66 
Independence,Missouri,39.08,-94.35 
Lafayette,Louisiana,30.20,-92.02 
Ann Arbor,Michigan,42.27,-83.73 
Rochester,Minnesota,44.01,-92.47 
Hartford,Connecticut,41.76,-72.68 
